2020,"101,600","14,700",,,,,,,,,
2019,"99,086.50","14,363.48","28,335.53",6.1,"70,892","10,276","20,273",5.7,"1,397,715",6.8985,3.4969
2018,"91,928.11","13,891.88","26,274.93",6.7,"66,006","9,975","18,866",6.2,"1,392,730",6.6174,3.4987
2017,"83,203.59","12,323.17","23,633.36",6.9,"60,014","8,889","17,047",6.3,"1,386,395",6.7518,3.5206
2016,"74,639.51","11,237.00","21,312.18",6.8,"54,139","8,151","15,459",6.2,"1,378,665",6.6423,3.5022
2015,"68,885.82","11,059.95","19,452.68",7,"50,237","8,066","14,186",6.5,"1,371,220",6.2284,3.5412
2014,"64,356.31","10,476.71","18,175.64",7.4,"47,173","7,679","13,323",6.9,"1,364,270",6.1428,3.5408
2013,"59,296.32","9,574.42","16,612.87",7.8,"43,684","7,054","12,239",7.3,"1,357,380",6.1932,3.5693
2012,"53,858.00","8,531.96","15,179.39",7.9,"39,874","6,317","11,238",7.4,"1,350,695",6.3125,3.5481
2011,"48,794.02","7,554.66","13,919.28",9.6,"36,302","5,621","10,356",9.1,"1,344,130",6.4588,3.5055
2010,"41,211.93","6,087.88","12,445.47",10.6,"30,808","4,551","9,304",10.1,"1,337,705",6.7695,3.3114
2009,"34,851.77","5,102.00","11,045.47",9.4,"26,180","3,833","8,297",8.9,"1,331,260",6.831,3.1553
2008,"31,924.46","4,596.69","10,037.24",9.7,"24,100","3,470","7,577",9.1,"1,324,655",6.9451,3.1806
2007,"27,009.23","3,551.98","8,945.53",14.2,"20,494","2,695","6,788",13.6,"1,317,885",7.604,3.0193
2006,"21,943.85","2,752.68","7,608.82",12.7,"16,738","2,100","5,804",12.1,"1,311,020",7.9718,2.884
2005,"18,731.89","2,286.69","6,539.32",11.4,"14,368","1,754","5,016",10.7,"1,303,720",8.1917,2.8645
2004,"16,184.02","1,955.35","5,719.54",10.1,"12,487","1,509","4,413",9.4,"1,296,075",8.2768,2.8296
2003,"13,742.20","1,660.29","5,051.72",10,"10,666","1,289","3,921",9.3,"1,288,400",8.277,2.7203
2002,"12,171.74","1,470.55","4,515.91",9.1,"9,506","1,148","3,527",8.4,"1,280,400",8.277,2.6953
2001,"11,086.31","1,339.41","4,078.10",8.3,"8,717","1,053","3,207",7.5,"1,271,850",8.277,2.7185
2000,"10,028.01","1,211.35","3,684.74",8.5,"7,942",959,"2,918",7.7,"1,262,645",8.2784,2.7215
